SMILES,FIA,reorg_nrj
Brc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(Br)cc21,421.8840544037521,185.55003999790642
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,394.02248040027916,206.70681199962928
CC(C)(C)c1c([N+](=O)[O-])cc2c(c1N)OB1Oc3c(cc([N+](=O)[O-])c(C(C)(C)C)c3N)N12,412.49080040026456,199.8397440003373
CC(C)(C)c1cc2c(c(Br)c1Cl)OB1Oc3c(cc(C(C)(C)C)c(Cl)c3Br)N12,410.3832924030721,184.71013600083097
CC(C)(C)c1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(C(C)(C)C)c(O)c3C(C)(C)C)N12,370.91014439985156,163.36439599995174
CC(C)(C)c1cc2c(c(O)c1[N+](=O)[O-])OB1Oc3c(cc(C(C)(C)C)c([N+](=O)[O-])c3O)N12,438.8810084005818,188.30367400000796
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1N)OB1Oc3c(cc(C(C)(C)C)c(N)c3[N+](=O)[O-])N12,410.92856440041214,197.50990999982605
CN(C)c1c(Br)c(N)cc2c1OB1Oc3c(cc(N)c(Br)c3N(C)C)N12,363.65528639778495,183.92064600029698
CN(C)c1c(C#N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(C#N)c(N(C)C)c3[N+](=O)[O-])N12,481.9510744009167,198.69935799988525
CN(C)c1c(N)ccc2c1OB1Oc3c(ccc(N)c3N(C)C)N12,341.49062439985573,186.70568800012006
CN(C)c1c(O)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(O)c3N(C)C)N12,421.4529224000871,185.7167520000985
CN(C)c1c(O)cc2c(c1C(C)(C)C)OB1Oc3c(cc(O)c(N(C)C)c3C(C)(C)C)N12,352.67657839972526,175.82328399957987
CN(C)c1c(O)ccc2c1OB1Oc3c(ccc(O)c3N(C)C)N12,338.1827743994072,184.27058000033867
CN(C)c1c2c(cc(C(C)(C)C)c1[N+](=O)[O-])N1B(O2)Oc2c1cc(C(C)(C)C)c([N+](=O)[O-])c2N(C)C,422.7415344007313,187.0841960000689
CN(C)c1c2c(cc([N+](=O)[O-])c1C(C)(C)C)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(C)(C)C)c2N(C)C,435.8791264006868,185.6469940000352
CN(C)c1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(N(C)C)cc21,371.31350840069354,188.08207599950038
CN(C)c1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(N(C)C)cc21,319.45255640055984,193.29260599974987
CN(C)c1cc2c(c(Br)c1C#N)OB1Oc3c(cc(N(C)C)c(C#N)c3Br)N12,449.8549064025283,176.2047039988829
CN(C)c1cc2c(cc1Br)OB1Oc3cc(Br)c(N(C)C)cc3N12,382.63741839677095,184.25474599989684
CN(C)c1ccc2c(c1C#N)OB1Oc3c(ccc(N(C)C)c3C#N)N12,412.60964639950544,194.74662999982684
COc1c(Br)cc2c(c1N)OB1Oc3c(cc(Br)c(OC)c3N)N12,381.9881463982165,179.3854140016265
COc1c(Br)cc2c(c1OC)OB1Oc3c(cc(Br)c(OC)c3OC)N12,394.6448943987489,188.9191979988027
COc1c(C#N)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(C#N)c3OC)N12,458.0681244004518,177.93047999994087
COc1c(C(C)(C)C)ccc2c1OB1Oc3c(ccc(C(C)(C)C)c3OC)N12,375.5670563997701,170.82319800015284
COc1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(OC)cc21,351.10303239990026,211.43101199982084
COc1cc2c(c(Br)c1C)OB1Oc3c(cc(OC)c(C)c3Br)N12,383.01350839808583,186.4413980018071
COc1cc2c(c(C#N)c1Cl)OB1Oc3c(cc(OC)c(Cl)c3C#N)N12,448.6551363999024,197.90537000021686
COc1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(OC)c(O)c3C(C)(C)C)N12,359.63696040026844,172.80426799948145
COc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])OB1Oc3c(cc(OC)c([N+](=O)[O-])c3C(C)(C)C)N12,421.58770640101284,187.21268799972677
COc1cc2c(c(N)c1C)OB1Oc3c(cc(OC)c(C)c3N)N12,341.07210240047425,186.59830800006603
Cc1c(Br)cc2c(c1C(C)(C)C)OB1Oc3c(cc(Br)c(C)c3C(C)(C)C)N12,377.5449543967843,179.73014799990779
Cc1c(Cl)c(N)cc2c1OB1Oc3c(cc(N)c(Cl)c3C)N12,354.36408240161836,182.11816999987605
Cc1c(N(C)C)cc2c(c1O)OB1Oc3c(cc(N(C)C)c(C)c3O)N12,361.4533983999863,184.44961599989256
Cc1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C)c3O)N12,358.5510703995824,183.576952000476
Cc1c2c(cc(N)c1C(C)(C)C)N1B(O2)Oc2c1cc(N)c(C(C)(C)C)c2C,338.673134399578,184.42525399977967
Cc1cc2c(c(Cl)c1N)OB1Oc3c(cc(C)c(N)c3Cl)N12,363.480098400265,182.46378800004095
Cc1cc2c(c(N)c1Cl)OB1Oc3c(cc(C)c(Cl)c3N)N12,364.1834763996303,184.6726440000566
Cc1cc2c(c(O)c1Br)OB1Oc3c(cc(C)c(Br)c3O)N12,384.6435263976455,179.40923000041948
Clc1cc2c(cc1Br)OB1Oc3cc(Br)c(Cl)cc3N12,416.446102399379,183.06521999948018
N#Cc1c(Br)c(O)cc2c1OB1Oc3c(cc(O)c(Br)c3C#N)N12,471.7660943977535,166.52945399855525
N#Cc1c(N)c(Br)cc2c1OB1Oc3c(cc(Br)c(N)c3C#N)N12,442.5963823981583,185.22701599940774
N#Cc1c(N)c(O)cc2c1OB1Oc3c(cc(O)c(N)c3C#N)N12,421.6142263999209,179.28892800046015
N#Cc1c(N)cc2c(c1Cl)OB1Oc3c(cc(N)c(C#N)c3Cl)N12,427.0831184005365,186.75867600018137
N#Cc1c(N)cc2c(c1O)OB1Oc3c(cc(N)c(C#N)c3O)N12,397.69820440001786,184.5109240000511
N#Cc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(C#N)cc21,463.28489439561963,187.37609799900383
N#Cc1cc(O)cc2c1OB1Oc3c(C#N)cc(O)cc3N12,425.806466399692,186.40627200024937
Nc1c(Br)c(Br)cc2c1OB1Oc3c(cc(Br)c(Br)c3N)N12,401.6919343955815,185.4650200031756
Nc1cc([N+](=O)[O-])cc2c1OB1Oc3c(N)cc([N+](=O)[O-])cc3N12,425.4733544001356,189.84308199983388
Nc1cc2c(cc1Cl)OB1Oc3cc(Cl)c(N)cc3N12,360.8112504007295,182.63062999967588
O=[N+]([O-])c1c(Cl)cc2c(c1Br)OB1Oc3c(cc(Cl)c([N+](=O)[O-])c3Br)N12,481.21745839715004,186.76938799981144
O=[N+]([O-])c1cc2c(cc1Br)OB1Oc3cc(Br)c([N+](=O)[O-])cc3N12,467.6044043973088,188.52196999996522
Oc1c(Cl)c(Br)cc2c1OB1Oc3c(cc(Br)c(Cl)c3O)N12,420.34027840197086,181.26406999981555
Oc1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(O)cc21,378.4520944003016,183.70515800020257
Oc1cc2c(c(Cl)c1O)OB1Oc3c(cc(O)c(O)c3Cl)N12,374.16238040011376,192.10573200025465
Oc1cc2c(cc1Cl)OB1Oc3cc(Cl)c(O)cc3N12,364.68774639908224,196.30753999986155
c1(OB2N3c4ccccc4O2)c3cccc1,341.0421088002622,180.68374220006262
